address,year,day,length,weight,count,looped,neighbors,income,label
18uMmC74nRJdWUEHxbDJgm8VWMteQN68S1,2014,2,38,0.16699743270874,9,0,1,37780000.0,white
16ucAymaXwPpMVdXtA4FE9sWQH7RrK4P8v,2014,105,144,6.12942377928405,1906,1889,16,32913323216.0,paduaCryptoWall
1HwKwCYZHZZnGAn6t6pRUPVtq71mPwGTXc,2012,17,0,1.0,1,0,1,1100000000.0,white
1MsCsEPC43GC3j2GA96nV36NysKX747tE,2014,172,144,0.680399140836793,853,771,2,2130000000.0,paduaCryptoWall
15Jjgw3fjg2H2KkZjKZrPHP2hHautmdWaf,2017,23,144,0.0122175574217496,3880,0,2,42131800.0,white
1PPWHDdhQFEeGtAbUKVvfJjsJvu1DX4eyc,2017,240,4,0.125,1,0,2,32000000.0,princetonCerber
18UpgWfzqgPKFz51J4apgmjDS8wzsWLtBb,2012,28,2,0.0193661971830986,71,0,1,78000000.0,white
194oG4RNkD1Yt5mDvBLUpies9eeRrzMojY,2014,117,144,0.567825638928486,694,0,1,8977465054.0,paduaCryptoWall
1LEbi3sufoAeNhCULFwZJqKKQRDQXXzgKh,2014,92,2,1.0,1,0,1,40000000.0,paduaCryptoWall
13e1LRy9YvuS2uxLY7btdqkYsJJTvmi4zG,2015,22,144,1.92838367590415e-05,3107,2888,2,533510000.0,white
12Vs7fvmcCnVoQWzNFfTWcU4H7oaK6Y5G6,2013,80,4,0.5,1,0,2,471796683.0,montrealCryptoLocker
1Jf8jGtZT4Kok1J7W1SwWGNP7J2hraXGmL,2014,141,2,2.775,24,22,4,161997240.0,paduaCryptoWall
1Ht5dUYp3hgiUSTcpbdkScTWQdcyLyxAD6,2017,131,12,0.5,1,0,2,13442947135.0,white
18kFpBYjM5STahiLK3MdBWseHY24dZEdao,2013,296,2,1.0,1,0,2,560000000.0,montrealCryptoLocker
1KDVsARG17jA6bfy6UPVJo6pcmDPCM7C3s,2015,250,2,0.5,1,0,1,222000000.0,paduaCryptoWall
19CaR8STb4LknABb9UjqXhfr46d5dSQ3QK,2014,43,2,0.5,1,0,2,60000000.0,white
13xYQWot3c9fko4TCBesh56EFMeZPChCVo,2013,96,10,3.6875,8,0,3,411798730.0,white
1KJaCAzq6v3nyENg7DUDhjLqP4GZBZrDma,2013,328,118,4.58030567140657e-18,13,13,2,1608000000.0,montrealCryptoLocker
17Db9QHuNRop4MHS8ixFrRxmG2hyDmQyPq,2015,56,144,1.74914414880204,615,0,2,100000000.0,white
1Ae3JYruZaFTgLjtZ96jcUaeksZ5rh37Ps,2012,154,28,0.00390625,1,0,2,1338779220.0,white
1Fyw7LJM3HDyccHWFpPXjjncrTuLE2YnVG,2013,50,0,1.0,1,0,2,65000000.0,montrealCryptoLocker
1LsvifCMub7BfwvNsmD1P7F4Mi94D3H8Ag,2012,56,34,0.000244140625,3,0,2,2193791726.0,white
1Cc1AttnWEnsfqrCBY9KY8wPXkb2eLCNz8,2014,186,112,0.180860503224805,582,1,2,273818800.0,paduaCryptoWall
3DoMmVXPuhqBzWtpCsreXBGS9gW4PsHvmN,2018,306,12,1.0,1,0,2,88093556.0,white
1Hi8Qd5dduvE5jTfujrxPjZ2ZsGpi8QxjW,2014,79,144,0.317611270763762,1889,1845,2,271020354.0,paduaCryptoWall
13uZaPTsG92qSm7GwYrWxKSMPKERKZELH9,2017,52,34,0.001953125,1,0,1,100000000.0,princetonCerber
16wMjs3SN7hazsbeHnoSBsRi8HPX9ajbkL,2014,266,0,1.0,1,0,1,60000000.0,paduaCryptoWall
1QFREJa9B8iGTXWUwnDgGNWUY2Voj9UgXi,2011,250,16,0.00390625,1,0,2,14450800000.0,white
168KQtJ1X3EezsYbXG1g7qtELJuzaXPKqT,2016,69,0,1.0,1,0,1,50000000.0,princetonLocky
18X9g2JFPzfD8ZxtmH41Em8YaAa4hNCini,2014,265,144,0.0207241007485868,1154,1085,2,45364809.0,white
13Yi5TELsUp1jZRkC7paGJWDhL9JHSWaKY,2014,99,0,1.0,1,0,1,500000000.0,paduaCryptoWall
1CYEvbQRX2wiStrFZYoF5cCTY2ZiUqFTD4,2014,175,34,0.304230416255614,68,0,1,260000000.0,paduaCryptoWall
1PwA9UqPpWSqASACLXNdc3aW47zjvgk7ow,2016,139,18,9.92063492063492e-07,1,0,2,120000000.0,montrealCryptXXX
1GU7Nb5puwQeTrWw9f9AZ1Q2QCpsu2Yc2T,2016,101,0,1.5,2,0,2,520000000.0,princetonLocky
1GShQhaTPjrTHWkDJG8dncjPkfWxv5cC5P,2013,290,16,0.015625,1,0,2,36501996.0,montrealCryptoLocker
19bU3VskUULG5fUy7x9xZmiByHqBCWCivL,2013,85,144,0.405860665507644,3641,0,1,100000000.0,white
18CmgKiwmFGEUgYSCmWAYnNYiFmDDgpoPq,2018,183,144,0.120280811673831,4076,0,2,190000000.0,white
13nrzHoHLqeSFqu9ZPZhnGhDPwuDHZrAmC,2017,41,16,0.25,1,0,2,100000000.0,princetonCerber
16eMX9SMzdxhjZHWiT8qtqLaj6xJuJqscp,2014,125,0,0.5,1,0,1,49990000.0,white
1LvjTxjFnjomvvMK8CGx1qZ1zpLJFUFRmq,2017,97,144,0.512906746031746,1647,0,2,600000000.0,montrealDMALockerv3
16WVy8mx1bkbhRUoxfKRZfKbHhTP3v6BJN,2017,118,34,0.03125,1,0,2,100000000.0,princetonCerber
32tTonCAqCEvXgku2AozGhfyv4vwzE2hdN,2016,247,2,0.5,1,0,2,120423802.0,white
17VZYvxn8B71BpiTLYqtC264YahKfG8u7Y,2015,109,144,0.0924646991736561,50,0,2,125208185.0,white
18hsrCRYrKyi1xbK2gzB3Aw8wSYHA2T4Pc,2015,198,144,0.0005812369448742,1872,1560,2,1879300000.0,white
19q5zEyU6LjaJAsaiC68hZuar86S8BdyCs,2014,276,144,1.59442535979693e-06,2050,0,2,55245000.0,white
3PJf9xLejoRJrNzNc38dNMhrsR7uTRty5w,2018,260,138,0.121720158004323,6299,0,1,68187990.0,white
1AxRHz8UdMGU8YvyDKXSeQsQrVApWp7zsm,2014,143,64,2.3283064365387004e-10,1,0,2,150000000.0,paduaCryptoWall
1MH5R8TvAJrraQwnz8MfJAhLr8FPCTLoCv,2018,246,0,1.0,1,0,2,50000000.0,white
1FBidtAHaxYaiHx9XYn5ikinWCQEbRi2E8,2011,48,12,0.555555555555556,20,0,2,4847000000.0,white
12wQZTDmA8onM3sEt4jwcvzDxnNXxD8Vza,2012,59,8,0.164984288233918,22,18,3,107087685.0,montrealCryptoLocker
34sjPxTNtxfEWPPgNbZkMwwwGL9pLmDV64,2018,220,10,0.25,1,0,2,46587670.0,white
12wQZTDmA8onM3sEt4jwcvzDxnNXxD8Vza,2011,344,0,0.0521929824561403,2,0,4,117589227.0,montrealCryptoLocker
1PrHVWtZDLJ6XU8peaK8WzGQVMoPtExRup,2014,235,144,0.0856710271219472,1137,1137,2,30600000.0,white
37mUtvhKgFbM7C72REQN3XeRkvmLJ6KNJJ,2018,103,2,1.0,1,0,2,243760460.0,white
1N6u4RieHCDKVS3kskeMcTJWCWgdft7knB,2013,170,0,0.5,1,0,2,370937000.0,white
1Q4FdD5h89WyBUniWYUpzDEriH8KkNhj28,2014,200,2,0.25,1,0,2,101900000.0,paduaCryptoWall
19S5u7cX4tt7V1HpKxJw8qLPtwcGh9ZiSu,2015,6,144,0.508287100248835,2790,0,2,302743360.0,white
1Bue4SwXawEhVCP4G3L4adGkpTMQ9vodrf,2016,322,36,0.0625,1,0,2,100000000.0,princetonCerber
1LSK82P95iKV9hiRNMyqZMi7fAUESdKQV9,2012,310,0,1.0,1,0,1,99770000.0,white
15ii7dZPz9nfDEoQNiQNwiimTA4w2t7XSN,2016,194,144,0.351139568793157,1285,0,2,200000000.0,princetonCerber
397WHD6F4MVPaYQkVRg9srzJirexm1DDKt,2016,20,2,0.25,1,0,1,2242264361.0,white
34pTQ1roWhFf4hYBHmCUnVXR3jDXn8er4J,2016,153,0,0.333333333333333,1,0,2,90396842.0,white
1L66AcnbuZkYjs8eE6uVbTUxmorHYGKxFJ,2015,195,144,1.55568594182204,1083,0,3,537000000.0,paduaCryptoWall
1ETcMZZmiba1CJG9CZpEmMP2Xfb6RiBrqJ,2014,91,0,0.5,1,0,2,480000000.0,paduaCryptoWall
1Eh7nUYRyJNaXL4BziXjEDiNbqDJm3jhrD,2016,129,144,0.241030105543288,2354,0,2,1318568030.0,white
16oPiVMjUXhtkxqqz2MVTfC6h89mmoEBLm,2013,25,0,1.0,1,0,2,2462352194.0,white
19no6ohKNxk316J7uod1u9zScQ9XW6WjmC,2014,245,144,0.541030747656408,1977,0,2,4524106754.0,white
1Dotg5QFEgeUW6AHN4iueeEy5z6ehh8AYW,2016,265,2,0.0416666666666667,1,0,1,300000000.0,princetonLocky
19CJfHnNZGJ9zjd7VuMVdeRvPQjNDPXGL4,2016,258,144,0.316454087636193,5308,0,1,400000000.0,princetonLocky
1GtCe2nDYQNNsCKtcdrasNpETe78KYgnCK,2015,239,8,0.25,1,0,1,307510000.0,paduaCryptoWall
13KQtQ4Y2TCikKW5yVjuFWnzUetUG976FM,2013,239,0,0.5,1,0,2,1247400000.0,montrealCryptoLocker
1K2sw8eF8mQZxSL1kbU1kqQVVRSx2JUqPa,2017,108,82,3.0,12,0,2,209705200.0,white
1BDFCa9wiwwWNWk2XuUdd2vXq1yAp6Qu3P,2014,133,0,2.0,2,0,2,207500000.0,paduaCryptoWall
1628Afqa4bCpURJwnYQhyXeWzZtkN5x3hd,2015,188,4,0.5,1,0,2,96058340.0,white
1Gehkhrk8cCwUESGGsJw2KLEwzt689BvLd,2014,167,0,2.0,2,0,2,105968150.0,paduaCryptoWall
12YursV58dRT2c9iuZg3jEWfwgTDamBcnd,2013,175,6,1.0,2,0,2,758500000.0,montrealCryptoLocker
1A6Ki238DbKeqzmTe6wmwXrQJRbM6ziLBT,2011,137,48,0.507814407348633,3,3,4,1590000000.0,white
17m8m8FV5hDQft1KgBVWzZAo1eF8RyrmeJ,2014,210,20,0.0002170138888888,1,0,2,199610000.0,white
16ADeBt6kg7iA5feDgC3ACWhTywzNBSAP2,2016,169,0,0.5,1,0,1,240000000.0,montrealCryptXXX
13sBQvDydfbYafuvVaBo1JjGDBx4hGpMLX,2016,160,30,0.00048828125,1,0,2,120000000.0,montrealCryptXXX
