,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,GrLivArea,FullBath,BedroomAbvGr,KitchenAbvGr,GarageArea,YrSold,LotShape,LotConfig,SalePrice
0,8450,7,5,2003,2003,1710,2,3,1,548,2008,Reg,Inside,208500
1,9600,6,8,1976,1976,1262,2,3,1,460,2007,Reg,FR2,181500
2,11250,7,5,2001,2002,1786,2,3,1,608,2008,IR1,Inside,223500
3,9550,7,5,1915,1970,1717,1,3,1,642,2006,IR1,Corner,140000
4,14260,8,5,2000,2000,2198,2,4,1,836,2008,IR1,FR2,250000
5,14115,5,5,1993,1995,1362,1,1,1,480,2009,IR1,Inside,143000
6,10084,8,5,2004,2005,1694,2,3,1,636,2007,Reg,Inside,307000
7,10382,7,6,1973,1973,2090,2,3,1,484,2009,IR1,Corner,200000
8,6120,7,5,1931,1950,1774,2,2,2,468,2008,Reg,Inside,129900
9,7420,5,6,1939,1950,1077,1,2,2,205,2008,Reg,Corner,118000
10,11200,5,5,1965,1965,1040,1,3,1,384,2008,Reg,Inside,129500
11,11924,9,5,2005,2006,2324,3,4,1,736,2006,IR1,Inside,345000
12,12968,5,6,1962,1962,912,1,2,1,352,2008,IR2,Inside,144000
13,10652,7,5,2006,2007,1494,2,3,1,840,2007,IR1,Inside,279500
14,10920,6,5,1960,1960,1253,1,2,1,352,2008,IR1,Corner,157000
15,6120,7,8,1929,2001,854,1,2,1,576,2007,Reg,Corner,132000
16,11241,6,7,1970,1970,1004,1,2,1,480,2010,IR1,CulDSac,149000
17,10791,4,5,1967,1967,1296,2,2,2,516,2006,Reg,Inside,90000
18,13695,5,5,2004,2004,1114,1,3,1,576,2008,Reg,Inside,159000
19,7560,5,6,1958,1965,1339,1,3,1,294,2009,Reg,Inside,139000
20,14215,8,5,2005,2006,2376,3,4,1,853,2006,IR1,Corner,325300
21,7449,7,7,1930,1950,1108,1,3,1,280,2007,Reg,Inside,139400
22,9742,8,5,2002,2002,1795,2,3,1,534,2008,Reg,Inside,230000
23,4224,5,7,1976,1976,1060,1,3,1,572,2007,Reg,Inside,129900
24,8246,5,8,1968,2001,1060,1,3,1,270,2010,IR1,Inside,154000
25,14230,8,5,2007,2007,1600,2,3,1,890,2009,Reg,Corner,256300
26,7200,5,7,1951,2000,900,1,3,1,576,2010,Reg,Corner,134800
27,11478,8,5,2007,2008,1704,2,3,1,772,2010,Reg,Inside,306000
28,16321,5,6,1957,1997,1600,1,2,1,319,2006,IR1,CulDSac,207500
29,6324,4,6,1927,1950,520,1,1,1,240,2008,IR1,Inside,68500
30,8500,4,4,1920,1950,1317,1,3,1,250,2008,Reg,Inside,40000
31,8544,5,6,1966,2006,1228,1,3,1,271,2008,IR1,CulDSac,149350
32,11049,8,5,2007,2007,1234,2,3,1,484,2008,Reg,Corner,179900
33,10552,5,5,1959,1959,1700,1,4,1,447,2010,IR1,Inside,165500
34,7313,9,5,2005,2005,1561,2,2,1,556,2007,Reg,Inside,277500
35,13418,8,5,2004,2005,2452,3,4,1,691,2006,Reg,Inside,309000
36,10859,5,5,1994,1995,1097,1,3,1,672,2009,Reg,Corner,145000
37,8532,5,6,1954,1990,1297,1,3,1,498,2009,Reg,Inside,153000
38,7922,5,7,1953,2007,1057,1,3,1,246,2010,Reg,Inside,109000
39,6040,4,5,1955,1955,1152,2,2,2,0,2008,Reg,Inside,82000
40,8658,6,5,1965,1965,1324,2,3,1,440,2006,Reg,Inside,160000
41,16905,5,6,1959,1959,1328,1,2,1,308,2007,Reg,Inside,170000
42,9180,5,7,1983,1983,884,1,2,1,504,2007,IR1,CulDSac,144000
43,9200,5,6,1975,1980,938,1,3,1,308,2008,IR1,CulDSac,130250
44,7945,5,6,1959,1959,1150,1,3,1,300,2006,Reg,Inside,141000
45,7658,9,5,2005,2005,1752,2,2,1,576,2010,Reg,Inside,319900
46,12822,7,5,2003,2003,2149,1,1,1,670,2009,IR1,CulDSac,239686
47,11096,8,5,2006,2006,1656,2,3,1,826,2007,Reg,Inside,249700
48,4456,4,5,1920,2008,1452,2,2,3,0,2009,Reg,Inside,113000
49,7742,5,7,1966,1966,955,1,3,1,386,2007,Reg,Inside,127000
50,13869,6,6,1997,1997,1470,2,3,1,388,2007,IR2,Corner,177000
51,6240,6,6,1934,1950,1176,1,3,1,528,2006,Reg,Inside,114500
52,8472,5,5,1963,1963,816,1,2,1,516,2010,IR2,Corner,110000
53,50271,9,5,1981,1987,1842,0,0,1,894,2006,IR1,Inside,385000
54,7134,5,5,1955,1955,1360,1,3,1,572,2007,Reg,Inside,130000
55,10175,6,5,1964,1964,1425,2,3,1,576,2008,IR1,Inside,180500
56,2645,8,5,1999,2000,1739,2,3,1,480,2009,Reg,Inside,172500
57,11645,7,5,2004,2004,1720,2,3,1,565,2006,IR1,Corner,196500
58,13682,10,5,2006,2006,2945,3,3,1,641,2006,IR2,CulDSac,438780
59,7200,5,7,1972,1972,780,1,2,1,352,2008,Reg,Inside,124900
60,13072,6,5,2004,2004,1158,1,3,1,576,2006,Reg,Inside,158000
61,7200,5,7,1920,1996,1111,1,3,1,288,2007,Reg,Inside,101000
62,6442,8,5,2006,2006,1370,2,2,1,484,2007,IR1,Inside,202500
63,10300,7,6,1921,1950,1710,2,3,1,480,2010,IR1,Inside,140000
64,9375,7,5,1997,1998,2034,2,3,1,645,2009,Reg,Inside,219500
65,9591,8,5,2004,2005,2473,2,4,1,852,2007,Reg,Inside,317000
66,19900,7,5,1970,1989,2207,2,3,1,576,2010,Reg,Inside,180000
67,10665,7,5,2003,2003,1479,2,3,1,558,2007,IR1,Inside,226000
68,4608,4,6,1945,1950,747,1,2,1,220,2010,Reg,Corner,80000
69,15593,7,4,1953,1953,2287,2,3,1,667,2006,Reg,Corner,225000
70,13651,7,6,1973,1973,2223,2,3,1,516,2007,IR1,Inside,244000
71,7599,4,6,1982,2006,845,1,2,1,360,2007,Reg,Corner,129500
72,10141,7,5,1998,1998,1718,2,3,1,427,2009,IR1,Corner,185000
73,10200,5,7,1954,2003,1086,1,3,1,490,2010,Reg,Inside,144900
74,5790,3,6,1915,1950,1605,2,3,2,379,2010,Reg,Corner,107400
75,1596,4,5,1973,1973,988,1,2,1,297,2009,Reg,Inside,91000
76,8475,4,7,1956,1956,952,1,2,1,283,2008,IR1,Inside,135750
77,8635,5,5,1948,2001,1285,1,2,1,240,2008,Reg,Inside,127000
78,10778,4,5,1968,1968,1768,2,4,2,0,2010,Reg,Inside,136500
79,10440,5,6,1910,1981,1230,1,2,1,440,2009,Reg,Corner,110000
80,13000,6,6,1968,1968,2142,2,4,1,509,2009,Reg,Corner,193500
81,4500,6,5,1998,1998,1337,2,2,1,405,2006,Reg,FR2,153500
82,10206,8,5,2007,2007,1563,2,3,1,758,2008,Reg,Inside,245000
