UniqueID,Vehicle Class,Engine Size(L),Cylinders,Transmission,Number of Gear,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km)
0,4431257050385092718,COMPACT,2.0,4,A,5.0,Z,9.9,6.7,8.5,33,196
1,7272501878989789175,COMPACT,2.4,4,M,6.0,Z,11.2,7.7,9.6,29,221
2,871771505959663499,COMPACT,1.5,4,A,7.0,Z,6.0,5.8,5.9,48,136
3,6497200756518372995,SUV,3.5,6,A,6.0,Z,12.7,9.1,11.1,25,255
4,7315936316372124351,SUV,3.5,6,A,6.0,Z,12.1,8.7,10.6,27,244
5,9004354585794528778,MID-SIZE,3.5,6,A,6.0,Z,11.9,7.7,10.0,28,230
6,6584920238876815891,MID-SIZE,3.5,6,A,6.0,Z,11.8,8.1,10.1,28,232
7,2758529413893964523,MID-SIZE,3.7,6,A,6.0,Z,12.8,9.0,11.1,25,255
8,5078440341669063360,MID-SIZE,3.7,6,M,6.0,Z,13.4,9.5,11.6,24,267
9,6962476287174217737,COMPACT,2.4,4,A,5.0,Z,10.6,7.5,9.2,31,212
10,2161876305170839549,COMPACT,2.4,4,M,6.0,Z,11.2,8.1,9.8,29,225
11,7784551200997670763,COMPACT,3.5,6,A,5.0,Z,12.1,8.3,10.4,27,239
12,1599214682227995203,TWO-SEATER,1.8,4,A,6.0,Z,9.7,6.9,8.4,34,193
13,2734882974409331228,COMPACT,5.9,12,A,6.0,Z,18.0,12.6,15.6,18,359
14,4008676182553075201,COMPACT,5.9,12,A,6.0,Z,18.0,12.6,15.6,18,359
15,6371681166263201881,TWO-SEATER,4.7,8,A,7.0,Z,17.4,11.3,14.7,19,338
16,7427576099162617656,TWO-SEATER,4.7,8,M,6.0,Z,18.1,12.2,15.4,18,354
17,4375295064380586400,TWO-SEATER,4.7,8,A,7.0,Z,17.4,11.3,14.7,19,338
18,8494844467717397052,TWO-SEATER,4.7,8,M,6.0,Z,18.1,12.2,15.4,18,354
19,7473317276203579134,COMPACT,5.9,12,A,6.0,Z,18.0,12.6,15.6,18,359
20,8331758404221270028,COMPACT,2.0,4,A,8.0,Z,9.9,7.4,8.8,32,202
21,697776838420758997,COMPACT,2.0,4,A,8.0,Z,11.5,8.1,10.0,28,230
22,3650131082838001524,COMPACT,2.0,4,M,6.0,Z,10.8,7.5,9.3,30,214
23,8818634115569540272,COMPACT,2.0,4,A,8.0,Z,11.5,8.1,10.0,28,230
24,4492683696386519393,COMPACT,2.0,4,A,8.0,Z,11.5,8.1,10.0,28,230
25,5364403329427749434,COMPACT,2.0,4,M,6.0,Z,10.8,7.5,9.3,30,214
