occupation,race,sex,age,education,education-num,hours-per-week,class
Adm-clerical,White,Male,39,Bachelors,13,40,<=50K
Exec-managerial,White,Male,50,Bachelors,13,13,<=50K
Handlers-cleaners,White,Male,38,HS-grad,9,40,<=50K
Handlers-cleaners,Black,Male,53,11th,7,40,<=50K
Prof-specialty,Black,Female,28,Bachelors,13,40,<=50K
Exec-managerial,White,Female,37,Masters,14,40,<=50K
Other-service,Black,Female,49,9th,5,16,<=50K
Exec-managerial,White,Male,52,HS-grad,9,45,>50K
Prof-specialty,White,Female,31,Masters,14,50,>50K
Exec-managerial,White,Male,42,Bachelors,13,40,>50K
Exec-managerial,Black,Male,37,Some-college,10,80,>50K
Prof-specialty,Asian-Pac-Islander,Male,30,Bachelors,13,40,>50K
Adm-clerical,White,Female,23,Bachelors,13,30,<=50K
Sales,Black,Male,32,Assoc-acdm,12,50,<=50K
Craft-repair,Asian-Pac-Islander,Male,40,Assoc-voc,11,40,>50K
Transport-moving,Amer-Indian-Eskimo,Male,34,7th-8th,4,45,<=50K
Farming-fishing,White,Male,25,HS-grad,9,35,<=50K
Machine-op-inspct,White,Male,32,HS-grad,9,40,<=50K
Sales,White,Male,38,11th,7,50,<=50K
Exec-managerial,White,Female,43,Masters,14,45,>50K
Prof-specialty,White,Male,40,Doctorate,16,60,>50K
Other-service,Black,Female,54,HS-grad,9,20,<=50K
Farming-fishing,Black,Male,35,9th,5,40,<=50K
Transport-moving,White,Male,43,11th,7,40,<=50K
Tech-support,White,Female,59,HS-grad,9,40,<=50K
Tech-support,White,Male,56,Bachelors,13,40,>50K
Craft-repair,White,Male,19,HS-grad,9,40,<=50K
?,Asian-Pac-Islander,Male,54,Some-college,10,60,>50K
Exec-managerial,White,Male,39,HS-grad,9,80,<=50K
Craft-repair,White,Male,49,HS-grad,9,40,<=50K
Protective-serv,White,Male,23,Assoc-acdm,12,52,<=50K
Sales,Black,Male,20,Some-college,10,44,<=50K
Exec-managerial,White,Male,45,Bachelors,13,40,<=50K
Adm-clerical,White,Male,30,Some-college,10,40,<=50K
Other-service,Black,Male,22,Some-college,10,15,<=50K
Machine-op-inspct,White,Male,48,11th,7,40,<=50K
Machine-op-inspct,White,Male,21,Some-college,10,40,<=50K
Adm-clerical,White,Female,19,HS-grad,9,25,<=50K
Sales,White,Male,31,Some-college,10,38,>50K
Prof-specialty,White,Male,48,Assoc-acdm,12,40,<=50K
Machine-op-inspct,White,Male,31,9th,5,43,<=50K
Prof-specialty,White,Male,53,Bachelors,13,40,<=50K
Tech-support,White,Male,24,Bachelors,13,50,<=50K
Adm-clerical,White,Female,49,HS-grad,9,40,<=50K
Handlers-cleaners,White,Male,25,HS-grad,9,35,<=50K
Prof-specialty,Black,Male,57,Bachelors,13,40,>50K
Machine-op-inspct,White,Male,53,HS-grad,9,38,<=50K
Exec-managerial,White,Female,44,Masters,14,40,<=50K
Craft-repair,White,Male,41,Assoc-voc,11,40,<=50K
Prof-specialty,White,Male,29,Assoc-voc,11,43,<=50K
Exec-managerial,Other,Female,25,Some-college,10,40,<=50K
Other-service,White,Female,18,HS-grad,9,30,<=50K
Prof-specialty,White,Female,47,Prof-school,15,60,>50K
Exec-managerial,White,Male,50,Bachelors,13,55,>50K
Exec-managerial,White,Male,47,HS-grad,9,60,<=50K
Tech-support,White,Male,43,Some-college,10,40,>50K
Machine-op-inspct,White,Male,46,5th-6th,3,40,<=50K
Other-service,White,Male,35,Assoc-voc,11,40,<=50K
Adm-clerical,White,Male,41,HS-grad,9,48,<=50K
Machine-op-inspct,White,Male,30,HS-grad,9,40,<=50K
Sales,White,Male,30,Bachelors,13,40,<=50K
?,White,Male,32,7th-8th,4,40,<=50K
Transport-moving,White,Male,48,HS-grad,9,40,<=50K
Prof-specialty,White,Male,42,Doctorate,16,45,>50K
Tech-support,White,Male,29,Some-college,10,58,<=50K
Craft-repair,White,Male,36,HS-grad,9,40,<=50K
Adm-clerical,White,Female,28,Some-college,10,40,<=50K
Adm-clerical,White,Female,53,HS-grad,9,40,>50K
Exec-managerial,White,Male,49,Some-college,10,50,>50K
?,White,Male,25,Some-college,10,40,<=50K
Prof-specialty,White,Male,19,Some-college,10,32,<=50K
Sales,Black,Female,31,Bachelors,13,40,<=50K
Sales,White,Male,29,Bachelors,13,70,>50K
Machine-op-inspct,White,Male,23,Some-college,10,40,<=50K
Prof-specialty,White,Male,79,Some-college,10,20,<=50K
Other-service,White,Male,27,HS-grad,9,40,<=50K
Adm-clerical,White,Male,40,Assoc-acdm,12,40,<=50K
?,White,Male,67,10th,6,2,<=50K
Other-service,White,Female,18,11th,7,22,<=50K
Farming-fishing,White,Male,31,7th-8th,4,40,<=50K
Sales,White,Male,18,HS-grad,9,30,<=50K
Other-service,White,Male,52,Bachelors,13,40,<=50K
Other-service,White,Female,46,HS-grad,9,40,<=50K
Sales,White,Male,59,HS-grad,9,48,<=50K
Craft-repair,White,Female,44,HS-grad,9,40,>50K
Sales,White,Female,53,HS-grad,9,35,<=50K
Protective-serv,White,Male,49,HS-grad,9,40,>50K
Prof-specialty,White,Male,33,Masters,14,50,<=50K
Sales,White,Male,30,9th,5,40,<=50K
Prof-specialty,White,Female,43,Doctorate,16,50,>50K
Prof-specialty,White,Male,57,Assoc-voc,11,40,<=50K
Craft-repair,White,Female,37,Some-college,10,40,<=50K
Machine-op-inspct,Black,Female,28,Some-college,10,25,<=50K
Sales,Asian-Pac-Islander,Female,30,HS-grad,9,35,<=50K
Protective-serv,White,Male,34,Bachelors,13,40,>50K
Handlers-cleaners,White,Male,29,Some-college,10,50,<=50K
Prof-specialty,White,Male,48,Doctorate,16,60,>50K
Sales,White,Male,37,Some-college,10,48,>50K
Exec-managerial,White,Female,48,Assoc-acdm,12,40,<=50K
Other-service,Black,Male,32,HS-grad,9,40,<=50K
Exec-managerial,White,Male,76,Masters,14,40,>50K
Exec-managerial,White,Male,44,Bachelors,13,60,>50K
Prof-specialty,White,Female,47,Masters,14,50,<=50K
Tech-support,White,Female,20,Some-college,10,40,<=50K
Craft-repair,White,Male,29,HS-grad,9,40,<=50K
Craft-repair,White,Male,32,HS-grad,9,40,>50K
?,White,Female,17,10th,6,32,<=50K
Handlers-cleaners,White,Male,30,11th,7,40,<=50K
Adm-clerical,White,Female,31,HS-grad,9,40,<=50K
Handlers-cleaners,White,Male,42,HS-grad,9,40,<=50K
Sales,White,Male,24,Bachelors,13,40,<=50K
Prof-specialty,White,Male,38,Prof-school,15,40,>50K
Other-service,White,Male,56,HS-grad,9,50,>50K
Sales,White,Female,28,Some-college,10,25,<=50K
Machine-op-inspct,White,Female,36,HS-grad,9,40,<=50K
Handlers-cleaners,White,Male,53,9th,5,50,<=50K
Sales,White,Male,56,Some-college,10,50,<=50K
Craft-repair,Black,Male,49,Assoc-voc,11,40,>50K
Sales,White,Male,55,Some-college,10,56,<=50K
Craft-repair,White,Male,22,HS-grad,9,41,<=50K
Other-service,White,Female,21,Some-college,10,40,<=50K
Exec-managerial,White,Male,40,Bachelors,13,60,<=50K
Exec-managerial,Black,Male,30,Bachelors,13,40,<=50K
Prof-specialty,White,Male,29,Bachelors,13,50,>50K
Other-service,Black,Male,19,Some-college,10,35,<=50K
Exec-managerial,White,Female,47,Bachelors,13,40,>50K
Adm-clerical,White,Female,20,Some-college,10,28,<=50K
Adm-clerical,White,Male,31,Assoc-acdm,12,40,>50K
?,White,Male,35,HS-grad,9,40,<=50K
Craft-repair,White,Male,39,Some-college,10,40,<=50K
Sales,White,Female,28,Assoc-acdm,12,60,<=50K
Other-service,White,Female,24,HS-grad,9,40,<=50K
Craft-repair,White,Male,38,HS-grad,9,35,<=50K
Sales,White,Male,37,Bachelors,13,50,<=50K
Tech-support,Black,Female,46,Assoc-acdm,12,36,<=50K
Prof-specialty,White,Male,38,Masters,14,40,>50K
Craft-repair,White,Male,43,HS-grad,9,60,<=50K
Adm-clerical,White,Female,27,Assoc-voc,11,35,<=50K
Sales,White,Male,20,Some-college,10,20,<=50K
Craft-repair,Asian-Pac-Islander,Male,49,Some-college,10,40,>50K
Craft-repair,White,Male,61,HS-grad,9,40,<=50K
Sales,White,Female,27,Some-college,10,40,<=50K
Other-service,White,Male,19,Some-college,10,30,<=50K
Prof-specialty,White,Female,45,Assoc-voc,11,40,>50K
Tech-support,White,Male,70,Some-college,10,40,<=50K
Transport-moving,Black,Female,31,HS-grad,9,30,<=50K
Other-service,White,Male,22,Some-college,10,24,<=50K
Other-service,White,Female,36,HS-grad,9,24,<=50K
Craft-repair,White,Male,64,11th,7,40,<=50K
?,White,Female,43,Some-college,10,40,<=50K
Adm-clerical,White,Female,47,Some-college,10,38,<=50K
Adm-clerical,White,Female,34,HS-grad,9,40,<=50K
Exec-managerial,Asian-Pac-Islander,Female,33,Bachelors,13,40,<=50K
Craft-repair,White,Male,21,HS-grad,9,35,<=50K
?,White,Male,52,HS-grad,9,45,>50K
Craft-repair,White,Male,48,HS-grad,9,46,<=50K
Handlers-cleaners,White,Male,23,Bachelors,13,40,<=50K
Sales,Black,Male,71,Some-college,10,2,<=50K
Craft-repair,White,Male,29,HS-grad,9,60,<=50K
Other-service,Black,Male,42,Bachelors,13,50,<=50K
?,White,Female,68,1st-4th,2,20,<=50K
Other-service,White,Female,25,HS-grad,9,40,<=50K
Exec-managerial,Asian-Pac-Islander,Female,44,Masters,14,40,<=50K
Exec-managerial,Asian-Pac-Islander,Female,28,HS-grad,9,40,<=50K
Sales,White,Male,45,Masters,14,40,>50K
Other-service,White,Female,36,Some-college,10,40,<=50K
Exec-managerial,White,Male,39,Assoc-acdm,12,42,<=50K
Protective-serv,White,Male,46,Masters,14,40,<=50K
Handlers-cleaners,White,Male,18,11th,7,16,<=50K
Prof-specialty,White,Female,66,Assoc-voc,11,20,<=50K
Other-service,White,Male,27,HS-grad,9,40,<=50K
Protective-serv,White,Male,28,HS-grad,9,40,<=50K
Sales,White,Male,51,Some-college,10,40,>50K
Craft-repair,White,Male,27,Bachelors,13,50,<=50K
Prof-specialty,White,Male,28,Bachelors,13,40,>50K
Sales,White,Female,27,HS-grad,9,25,<=50K
Craft-repair,Black,Male,21,HS-grad,9,40,<=50K
Handlers-cleaners,Black,Male,34,HS-grad,9,40,<=50K
Other-service,White,Male,18,HS-grad,9,12,<=50K
Prof-specialty,White,Male,33,Bachelors,13,65,<=50K
Exec-managerial,Black,Male,44,Some-college,10,38,>50K
Adm-clerical,White,Female,43,Some-college,10,40,<=50K
Craft-repair,Black,Male,30,Some-college,10,45,<=50K
Machine-op-inspct,White,Male,40,7th-8th,4,40,>50K
Adm-clerical,White,Male,37,Some-college,10,42,>50K
Adm-clerical,Black,Male,34,HS-grad,9,40,<=50K
Exec-managerial,White,Female,41,Bachelors,13,40,<=50K
?,White,Female,53,Bachelors,13,50,<=50K
Prof-specialty,White,Female,31,Masters,14,50,<=50K
Prof-specialty,White,Male,58,Doctorate,16,1,>50K
Machine-op-inspct,Black,Female,38,Some-college,10,28,<=50K
Machine-op-inspct,White,Male,24,Some-college,10,40,<=50K
Craft-repair,Black,Male,41,Bachelors,13,40,<=50K
Tech-support,White,Male,47,Some-college,10,45,<=50K
Tech-support,White,Male,41,Bachelors,13,24,<=50K
Transport-moving,White,Male,23,5th-6th,3,40,<=50K
Craft-repair,White,Male,36,Some-college,10,40,<=50K
Exec-managerial,White,Female,40,Masters,14,55,>50K
Prof-specialty,White,Male,35,Masters,14,40,>50K
Sales,White,Male,24,HS-grad,9,40,<=50K
Prof-specialty,White,Female,26,Masters,14,40,<=50K
?,White,Male,19,HS-grad,9,40,<=50K
Exec-managerial,White,Male,51,Bachelors,13,50,>50K
Prof-specialty,White,Female,42,Some-college,10,40,<=50K
Adm-clerical,White,Female,37,HS-grad,9,35,<=50K
Sales,White,Female,18,11th,7,40,<=50K
Other-service,Black,Male,36,Bachelors,13,36,>50K
Craft-repair,White,Male,35,HS-grad,9,60,<=50K
Sales,White,Female,58,HS-grad,9,35,>50K
Sales,White,Female,17,11th,7,12,<=50K
Transport-moving,Black,Male,44,HS-grad,9,40,<=50K
Craft-repair,White,Male,37,HS-grad,9,40,>50K
Sales,Amer-Indian-Eskimo,Female,35,Some-college,10,40,<=50K
Craft-repair,Asian-Pac-Islander,Male,60,HS-grad,9,40,<=50K
Machine-op-inspct,White,Male,54,7th-8th,4,40,>50K
Exec-managerial,Black,Male,37,Bachelors,13,60,>50K
Sales,White,Female,50,Assoc-acdm,12,40,<=50K
Sales,White,Male,38,Bachelors,13,50,<=50K
Prof-specialty,White,Male,45,Bachelors,13,55,<=50K
Craft-repair,White,Male,25,10th,6,40,<=50K
Handlers-cleaners,White,Male,31,Some-college,10,40,<=50K
?,White,Male,64,1st-4th,2,40,<=50K
Other-service,Black,Male,90,HS-grad,9,40,<=50K
Adm-clerical,Black,Male,54,HS-grad,9,20,<=50K
Machine-op-inspct,White,Female,53,Preschool,1,35,<=50K
Sales,White,Female,18,HS-grad,9,40,<=50K
?,Amer-Indian-Eskimo,Female,60,10th,6,10,<=50K
Farming-fishing,White,Male,66,HS-grad,9,50,<=50K
Adm-clerical,White,Female,75,Assoc-voc,11,20,<=50K
Adm-clerical,White,Female,65,HS-grad,9,40,<=50K
Transport-moving,Black,Male,35,11th,7,40,<=50K
Sales,Black,Female,41,HS-grad,9,38,<=50K
Adm-clerical,White,Male,25,Some-college,10,42,<=50K
Craft-repair,Other,Female,33,Some-college,10,40,<=50K
Prof-specialty,White,Male,28,Prof-school,15,55,>50K
