MeanAtomicMass,MeanAtomicValN,MeanAtomicMagnMom,MeanAtomicElNeg,MaxDiffAtomicMass,MaxDiffAtomicElNeg,T_c(K)
51.67,4.04,1.44,2.51,124.91,2.55,44
114.04,6.63,3,1.84,39.05,1.1,6.14
141.22,3.94,1.94,1.78,113.33,0.86,3.94
173.9,5,3.16,1.51,88.04,0.1,4.54
81.5,2.31,0.84,1.73,121.33,2.55,56
53.81,4.09,1.47,2.53,141.25,2.55,48
51.68,3.93,1.32,2.48,191.2,2.49,50
57.58,4.67,1.61,2.51,146.5,2.55,90
93.88,5.08,2.54,1.56,9.85,0.87,3.11
133.05,3.07,1.07,1.27,42.43,0.68,5.04
74.02,5.67,3.67,1.9,72.98,0.6,2.65
53.86,4.01,1.43,2.49,124.91,2.55,38
55.59,4.65,1.43,2.51,151.26,2.55,76.5
50.88,4.15,1.45,2.53,121.33,2.55,53
80.44,5.73,2.27,1.52,32.53,0.58,5.83
117.35,4,3.92,1.84,146.03,0.94,8.4
59.02,5.12,4.24,2.33,83.94,0.39,13
57.94,4.99,1.3,2.42,157.06,3.44,89.5
53.07,4.05,1.99,1.59,60,0.74,1.95
68.09,2.5,1.5,1.95,9.08,0.11,3.3
71.73,5.53,2.47,2.15,122.91,2.88,27.4
77.34,4.52,4.02,1.61,65.92,0.41,19.9
70.08,4.65,3.34,1.88,105.41,0.6,4.44
72.17,6.78,3.72,2.17,134.36,2.81,15.6
39.68,4.25,1.75,2.11,84.28,2.18,14.4
51.95,4.02,1.4,2.52,122.91,2.55,79
54.56,4.53,2.53,1.68,41.64,0.27,13.32
51.61,4.03,1.4,2.52,170.21,2.55,92
49.28,5.12,2.13,2.61,141.25,2.49,37.8
15.51,2.7,0.7,1.8,44.13,0.73,34.5
99.43,7.5,4.5,2.22,6.96,0.12,1.97
61.53,5.5,2.5,2.14,122.91,2.34,5.96
51.21,4.05,1.4,2.52,121.33,2.55,50
45.92,4.42,1.53,2.61,196.97,2.49,40
50.85,4.62,2.62,1.69,41.64,0.27,7.4
16.26,3.86,1.95,2.47,120.89,1.76,31.3
56.72,4.42,1.55,2.55,122.91,2.49,35
132.93,5.67,2.33,1.8,164.13,0.9,3.5
82.13,6.03,2.57,2.04,148.53,1.73,31.8
80.85,5.62,2.78,1.79,81.48,1.39,24.9
40.59,3.7,1.7,1.75,109.24,1.01,5.3
74.92,3.89,1.13,2.44,184.59,2.55,89
66.05,3.72,1.72,2,220.03,1.33,16.8
56.84,4.43,1.58,2.55,124.91,2.49,37
31.76,3.17,1.17,1.59,61.92,0.41,0.69
90.1,2.96,1.53,1.73,134.36,2.55,58.3
52.17,5.16,1.56,2.65,151.26,2.55,93
78.57,3.09,1.37,1.75,191.2,2.49,33.1
186.44,7.06,4.94,1.92,4.02,0.3,1.93
71.76,5.5,2.9,1.79,98.23,1.38,36.5
87.08,5.27,2.22,1.69,101.9,0.95,8.8
123.02,4.5,2.5,2.17,218.03,1.74,3.3
79.56,6.99,3.01,2.07,72.66,1,14.4
57.32,4.43,1.57,2.56,122.91,2.49,40
89.14,5,3.2,2.43,171.83,0.39,10.1
59.22,4.4,1.6,2.55,192.98,2.49,99
50.73,4.1,1.44,2.53,122.91,2.55,70
60.14,4.42,1.62,2.55,192.98,2.49,91.5
56.43,4.4,1.54,2.55,122.91,2.49,30.5
84.59,2.09,0.58,1.67,184.59,2.55,130.9
99.41,7.5,2.5,2.02,14,1.06,1.07
129.82,4,1.28,1.75,85.77,1.08,0.95
130.71,4.94,1.94,2.05,92.38,0.55,2.98
55.48,4.52,1.43,2.47,157.06,3.44,15
49.41,4.27,1.43,2.58,121.33,2.55,92
168.95,5.53,1.84,1.82,102.56,1.1,2.87
53.87,4.25,1.51,2.53,192.98,2.49,108
25.13,5.5,2.23,2.84,44,2.46,8.5
132.9,3.02,1,1.27,25.3,0.68,5.72
60.41,5.82,2.52,2,46.91,1.76,31.4
80.61,2.38,0.95,1.74,128.24,2.55,84.5
104.89,5.67,1.89,2.02,181.41,0.98,3.21
46.61,4.1,1.45,2.53,167.84,2.49,28
70.65,6.8,0.49,2.05,95.61,1.33,23.32
